Code,Country,Discipline,Event,Gender,Medal,Name,NOC,Rank,Sport,Age,F1
1340263,France,BKB,Women Team,Female,Bronze,MICHEL Sarah,FRA,3,Basketball,32,8705
1312793,United States,BKB,Men Team,Male,Gold,MIDDLETON Khris,USA,1,Basketball,29,8717
1896503,Dominican Republic,BSB,Baseball Team,Male,Bronze,MIESES Johan,DOM,3,Baseball/Softball,26,8720
1555465,Latvia,BK3,Men Team,Male,Gold,MIEZIS Nauris,LAT,1,3x3 Basketball,30,8721
1344645,Serbia,VVO,Women Team,Female,Bronze,MIHAJLOVIC Brankica,SRB,3,Volleyball,30,8726
1347145,Germany,ATH,Women's Long Jump,Female,Gold,MIHAMBO Malaika,GER,1,Athletics,27,8734
1344914,Serbia,SHO,10m Air Pistol Men,Male,Silver,MIKEC Damir,SRB,2,Shooting,37,8736
1407721,Russia,HBL,Women Team,Female,Silver,MIKHAYLICHENKO Elena,ROC,2,Handball,19,8739
1435961,Russia,VVO,Men Team,Male,Silver,MIKHAYLOV Maxim,ROC,2,Volleyball,33,8740
1473837,New Zealand,RUG,Men Team,Male,Silver,MIKKELSON Tim,NZL,2,Rugby Sevens,34,8742
1365884,Hungary,SWM,Men's 100m Butterfly,Male,Silver,MILAK Kristof,HUN,2,Swimming,21,8756
1365884,Hungary,SWM,Men's 200m Butterfly,Male,Gold,MILAK Kristof,HUN,1,Swimming,21,8757
1346208,Italy,CTR,Men's Team Pursuit Team,Male,Gold,MILAN Jonathan,ITA,1,Cycling Track,20,8759
1344641,Serbia,VVO,Women Team,Female,Bronze,MILENKOVIC Bojana,SRB,3,Volleyball,24,8763
1296116,Bahamas,ATH,Women's 400m,Female,Gold,MILLER-UIBO Shaunae,BAH,1,Athletics,27,8773
1468365,Great Britain,SAL,Women's Two Person Dinghy - 470 Team,Female,Gold,MILLS Hannah,GBR,1,Sailing,33,8777
1326488,Australia,BKB,Men Team,Male,Bronze,MILLS Patty,AUS,3,Basketball,32,8778
1313729,Japan,BSB,Softball Team,Female,Gold,MINE Yukiyo,JPN,1,Baseball/Softball,33,8799
1402149,Spain,FBL,Men Team,Male,Silver,MINGUEZA Oscar,ESP,2,Football,22,8801
1406344,Russia,DIV,Men's Synchronised 10m Platform Team,Male,Bronze,MINIBAEV Viktor,ROC,3,Diving,30,8803
1428989,Russia,TKW,Women -57kg,Female,Silver,MININA Tatiana,ROC,2,Taekwondo,24,8804
1315113,Japan,FEN,Men's Épée Team,Male,Gold,MINOBE Kazuyasu,JPN,1,Fencing,34,8808
1332363,Spain,FBL,Men Team,Male,Silver,MIR Rafa,ESP,2,Football,24,8820
1303836,India,WLF,Women's 49kg,Female,Silver,MIRABAI Chanu Saikhom,IND,2,Weightlifting,27,8821
1332365,Spain,FBL,Men Team,Male,Silver,MIRANDA Juan,ESP,2,Football,21,8823
1343287,Italy,SWM,Men's 4 x 100m Freestyle Relay Team,Male,Silver,MIRESSI Alessandro,ITA,2,Swimming,22,8827
1343287,Italy,SWM,Men's 4 x 100m Medley Relay Team,Male,Bronze,MIRESSI Alessandro,ITA,3,Swimming,22,8828
1344667,Serbia,VVO,Women Team,Female,Bronze,MIRKOVIC Sladjana,SRB,3,Volleyball,25,8829
1450840,Canada,CTR,Women's Sprint,Female,Gold,MITCHELL Kelsey,CAN,1,Cycling Track,27,8850
1477798,Great Britain,ATH,Men's 4 x 100m Relay Team,Male,Silver,MITCHELL-BLAKE Nethaneel,GBR,2,Athletics,27,8857
1344189,Serbia,WPO,Men Team,Male,Gold,MITROVIC Branislav,SRB,1,Water Polo,36,8860
